simulation_num,flight_id,aircraft,simulation_day,origin,destination,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,weather_delay,gate_delay,maintenance_delay,overnight_delay,propagated_delay,status,reason
0,DL0001,A001,1,ATL,CLT,360,360,409,409,0,0,0,0,0,0,Scheduled,
0,DL0002,A002,1,ATL,DTW,360,360,464,464,0,0,0,0,0,0,Scheduled,
0,DL0003,A003,1,ATL,MCO,360,360,436,436,0,0,0,0,0,0,Scheduled,
0,DL0004,A004,1,ATL,MSP,360,360,511,511,0,0,0,0,0,0,Scheduled,
0,DL0005,A005,1,ATL,ORD,360,360,466,466,0,0,0,0,0,0,Scheduled,
0,DL0006,A006,1,ATL,JFK,360,360,489,489,0,0,0,0,0,0,Scheduled,
0,DL0007,A007,1,ATL,CLT,360,360,409,409,0,0,0,0,0,0,Scheduled,
0,DL0008,A008,1,ATL,DTW,360,360,464,464,0,0,0,0,0,0,Scheduled,
0,DL0009,A009,1,ATL,MCO,360,360,436,436,0,0,0,0,0,0,Scheduled,
0,DL0010,A010,1,ATL,BNA,360,360,407,407,0,0,0,0,0,0,Scheduled,
0,DL0011,A011,1,DTW,ORD,360,360,410,410,0,0,0,0,0,0,Scheduled,
0,DL0012,A012,1,DTW,MSP,360,360,454,454,0,0,0,0,0,0,Scheduled,
0,DL0013,A013,1,DTW,JFK,360,360,451,451,0,0,0,0,0,0,Scheduled,
0,DL0014,A014,1,DTW,MCO,360,360,519,519,0,0,0,0,0,0,Scheduled,
0,DL0015,A015,1,DTW,ORD,360,360,410,410,0,0,0,0,0,0,Scheduled,
0,DL0016,A016,1,DTW,MSP,360,360,454,454,0,0,0,0,0,0,Scheduled,
0,DL0017,A017,1,MSP,ORD,360,360,425,425,0,0,0,0,0,0,Scheduled,
0,DL0018,A018,1,MSP,ATL,360,360,511,511,0,0,0,0,0,0,Scheduled,
0,DL0019,A019,1,MSP,ORD,360,360,425,425,0,0,0,0,0,0,Scheduled,
0,DL0020,A020,1,MSP,STL,360,360,442,442,0,0,0,0,0,0,Scheduled,
0,DL0021,A021,1,MSP,DSM,360,360,410,410,0,0,0,0,0,0,Scheduled,
0,DL0022,A022,1,STL,ORD,360,360,414,414,0,0,0,0,0,0,Scheduled,
0,DL0023,A023,1,STL,ATL,360,360,448,448,0,0,0,0,0,0,Scheduled,
0,DL0024,A024,1,STL,DTW,360,360,441,441,0,0,0,0,0,0,Scheduled,
0,DL0025,A025,1,CLT,MCO,360,360,445,445,0,0,0,0,0,0,Scheduled,
0,DL0026,A026,1,CLT,JFK,360,360,456,456,0,0,0,0,0,0,Scheduled,
0,DL0027,A027,1,CLT,MCO,360,360,445,445,0,0,0,0,0,0,Scheduled,
0,DL0028,A028,1,BNA,CLT,360,360,424,424,0,0,0,0,0,0,Scheduled,
