total_flights,completed,cancelled,total_delay_minutes,average_delay,max_delay,weather_delay,gate_delay,maintenance_delay,propagated_delay
2113,2113,0,79230,37.5,1019,4499,2406,1567,55964
2113,2113,0,61711,29.21,784,3425,2783,1745,42021
2113,2113,0,71089,33.64,986,4384,2573,1699,49886
2113,2113,0,46186,21.86,860,4087,2527,1786,32698
2113,2113,0,66507,31.48,1046,3895,2645,1550,48703
2113,2113,0,65945,31.21,1065,4380,2376,1795,47152
2113,2113,0,50817,24.05,795,3605,2661,1373,36396
2113,2113,0,56968,26.96,811,4892,2746,1495,40417
2113,2113,0,47590,22.52,875,3592,2380,1122,34234
2113,2113,0,46593,22.05,785,3648,2494,1332,32297
2113,2113,0,55807,26.41,873,3275,2537,1753,42145
2113,2113,0,61879,29.28,994,3288,2687,1956,43914
2113,2113,0,52364,24.78,921,3705,2482,1590,37532
2113,2113,0,48515,22.96,798,3817,2699,1688,34573
2113,2113,0,80678,38.18,987,4125,2893,1933,58266
2113,2113,0,70741,33.48,985,4557,3110,2179,51488
2113,2113,0,64694,30.62,1206,4139,2925,1860,48203
2113,2113,0,66054,31.26,863,3815,3026,1609,46086
2113,2113,0,60748,28.75,803,3783,2812,1750,42768
2113,2113,0,57379,27.16,912,3923,2429,1363,40428
2113,2113,0,44448,21.04,837,3373,2883,1047,31451
2113,2113,0,60504,28.63,1001,3605,2780,1092,44113
2113,2113,0,61480,29.1,1020,3811,2565,1254,44854
2113,2113,0,46439,21.98,902,3668,2185,1535,33809
2113,2113,0,43066,20.38,742,3589,2461,1651,31433
2113,2113,0,53754,25.44,920,3553,2884,1941,38941
2113,2113,0,64127,30.35,782,4164,2772,1937,44602
2113,2113,0,49081,23.23,802,3441,2294,1653,34691
2113,2113,0,68074,32.22,1042,3779,2093,1541,48568
2113,2113,0,79238,37.5,1369,4146,2486,1406,59999
2113,2113,0,62722,29.68,946,3055,2648,2139,43312
2113,2113,0,37141,17.58,826,3083,2688,1444,26523
2113,2113,0,64778,30.66,950,4124,2589,1637,44357
2113,2113,0,46534,22.02,820,4293,2782,1639,33796
2113,2113,0,40739,19.28,757,3859,2644,1006,29226
2113,2113,0,69363,32.83,939,3567,2365,1468,48142
2113,2113,0,44276,20.95,1076,4083,2365,1749,32420
2113,2113,0,76155,36.04,1155,4350,2745,1108,56598
2113,2113,0,63820,30.2,1153,3979,2558,1516,46768
2113,2113,0,48470,22.94,781,3746,2794,1304,34288
2113,2113,0,53886,25.5,787,3585,2315,2009,38050
2113,2113,0,45307,21.44,979,3236,2567,1671,30909
2113,2113,0,45094,21.34,781,3663,2305,1773,32836
2113,2113,0,68061,32.21,946,4601,2328,1647,47721
2113,2113,0,61963,29.32,907,4145,2682,1864,42652
2113,2113,0,45281,21.43,788,3636,2919,1770,33520
2113,2113,0,59330,28.08,1113,4347,2311,1442,42723
2113,2113,0,55632,26.33,885,2957,2571,1189,40223
2113,2113,0,64928,30.73,902,3805,2315,1942,45064
2113,2113,0,65244,30.88,1178,3513,2946,1794,46890
